ItemLookupCode Price Quantity
-------------- ----- --------
5023652732711 16.7000 0.0
5098904446364 3.9900 0.0
5026670000053 .7250 0.0
0600835081221 16.3500 0.0
1785945923414 11.6500 0.0
5023652202139 23.4000 0.0
4006040398004 3.6900 0.0
7393596552019 40.0000 0.0
5099690155164 1.8900 0.0
5558882226458 4.1900 0.0
5015259005206 4.5900 0.0
5013683102409 3.7900 0.0
1684433820009 .0000 0.0
4006040241805 3.6900 0.0
5098704446878 1.5500 0.0
0600835084321 16.3500 0.0
5558882226222 1.2500 0.0
5558882226233 1.2500 0.0
0811639000121 2.9500 0.0
5558882226454 4.1900 0.0
0600835081320 19.9900 0.0
5014213711221 2.1500 0.0
5099904446366 10.8500 0.0
9314549901256 3.9500 0.0
9314549901263 3.9500 0.0
5099749002043 2.3900 0.0
09840130 11.6000 0.0
5011222772939 2.1900 0.0
5200306431217 24.1500 0.0
5030131004122 2.8500 0.0
5391508175037 3.9000 0.0
5060023231350 11.4900 0.0
5060023231237 17.9900 0.0
0792850289994 25.4500 0.0
5098704546106 16.2500 0.0
0650922450423 14.9500 0.0
0650922451321 14.9500 0.0
0650922900522 14.9500 0.0
5060051824562 15.0000 0.0
9781906018146 15.9900 0.0
9771649622014 3.9500 0.0
5098704449817 1.9900 0.0
5098704446502 2.2500 0.0
5558882221110 .0000 0.0
9771354592053 3.3500 0.0
9780956171306 17.9600 0.0
0650922368322 12.9900 0.0
0650922359726 12.9900 0.0
0650922370424 12.9900 0.0
0650922371728 12.9900 0.0
6 .0000 0.0
5390876062116 1.4900 0.0
50453108 5.9032 0.0
5013092009214 1.9973 0.0
13017 5.9032 0.0
5412533007015 4.2758 0.0
5031734300017 .6510 0.0
5025402520005 1.8494 0.0
5021878017506 1.1688 0.0
5033104000060 14.7802 0.0
22759 1.4647 0.0
5411386103707 11.7620 0.0
54036055 .5178 0.0
50477708 6.0512 0.0
5024278000307 .7398 0.0
5000119633484 1.3168 0.0
50853588 12.5758 0.0
50853625 8.4332 0.0
50853748 6.2139 0.0
50853533 8.8770 0.0
50853601 5.0303 0.0
50853656 11.2442 0.0
50853762 7.8414 0.0
50850327 7.2496 0.0
50853618 16.8663 0.0
5014653025193 2.5152 0.0
50853700 8.2852 0.0
50853670 5.9180 0.0
50826698 5.9180 0.0
0058449770787 3.3881 0.0
5017402005859 33.9545 0.0
5019487040145 5.3262 0.0
50742752 19.8253 0.0
5014213001810 1.3168 0.0
5017402002698 44.3702 0.0
5010477307125 .5918 0.0
0031200452023 2.3968 0.0
5012864130101 1.9086 0.0
5021812000182 4.7196 0.0
5337290008108 3.2549 0.0
5337290008122 3.2549 0.0
5034736100128 2.2045 0.0
5411386100409 40.6863 0.0
5011273041008 3.5508 0.0
0058449770701 3.3881 0.0
5012864020228 2.8554 0.0
5014213200022 2.7075 0.0
5017402004517 5.9032 0.0
